id,date,oppo,venue,result,bat_first,first_runs,first_wkts,first_all_out,first_notes,second_runs,second_wkts,second_all_out,second_notes,overs_opp,overs_tocc,tocc_w,tocc_nb,tocc_b,tocc_lb,opp_w,opp_nb,opp_b,opp_lb
-1,2004-05-16 00:00:00,Thurlow Park RAFA,H,L,Opp,146,10,,Osbourn 51,130,8,,Mander N 78,31.1,36.3,6,8,7,3,5,2,3,0
-1,2004-05-23 00:00:00,Addiscombe,H,W,Opp,169,8,,Butlin 64,170,8,,Leadley 74,37,40,12,1,10,2,2,2,7,3
-1,2004-05-29 00:00:00,Old Alleynians,A,L,TOCC,198,4,,,199,9,,,40.4,43.3,,,,,,,,
-1,2004-05-30 00:00:00,Woodgreen,A,W,TOCC,119,10,,,79,10,,,27.2,33.1,,,,,,,,
-1,2004-05-31 00:00:00,Steeple Langford,A,W,TOCC,167,1,,,,,,,,,,,,,,,,
-1,2004-06-01 00:00:00,Cove,A,L,,,,,,,,,,,,,,,,,,,
-1,2004-06-05 00:00:00,Norwood Exiles,,L,Opp,163,10,,,147,3,,,,,,,,,,,,
-1,2004-06-12 00:00:00,Spencer,,W,Opp,82,6,,,83,4,,,,,,,,,,,,
-1,2004-06-19 00:00:00,Churchleigh,,W,TOCC,132,9,,,129,10,,,,,,,,,,,,
-1,2004-06-26 00:00:00,Riverside,A,L,Opp,161,6,,,124,8,,,,,,,,,,,,
-1,2004-07-02 00:00:00,Central YMCA,A,W,Opp,,,,,113,2,,,,,,,,,,,,
-1,2004-07-10 00:00:00,Sanderstead,A,D,Opp,110,8,,,14,1,,,,,,,,,,,,
-1,2004-07-17 00:00:00,Old Josephians,A,L,TOCC,127,10,,,128,9,,,,,,,,,,,,
-1,2004-07-31 00:00:00,Old Josephians,H,L,TOCC,167,10,,,170,8,,,,,,,,,,,,
-1,1999-05-02 00:00:00,Commonwealth Offices,H,D,Opp,184,9,,,155,8,,,36.3,32.2,4,1,5,4,4,0,5,3
-1,1999-05-08 00:00:00,Legless 11,H,W,Opp,141,9,,"Williams 66, Clark 3-39",142,6,,"Dugdale 39*, Leadley 37",30.4,32.1,2,0,1,1,9,1,3,4
-1,1999-05-09 00:00:00,Falcon,A,L,TOCC,117,10,,"Porter 33, Broughton 4-28",118,7,,Langridge 69*,36,39.2,1,2,4,1,1,0,4,4
